arm,seed,event_idx,z_true,host_galaxy_index,in_catalog,host_draw_mode,s_tilde_phi_host,SNR,candidate_count_no_bh,candidate_count_with_bh,h_fiducial_used,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,combined_no_bh,combined_with_bh,impostor_share_proxy_no_bh
bc,900101,172,0.1444987564970925,11947034.0,True,catalogue_selected,0.8592772711255491,143.78053906903736,319,270,0.73,0.087580634425425,0.0293018556830574,2358638.147315816,194401.56588640896,0.08242111,0.0166686455859393,0.0020210049564634,
bc,900101,173,0.1262366003604391,18491829.0,True,catalogue_selected,0.8208206692268009,58.21805599108515,357,213,0.73,0.0597087088973915,0.0073024914777251,1408492.600274101,219325.24980529005,0.1557163,0.0111532938742138,0.0006840898587748,
bc,900101,175,0.1765770921274949,10150794.0,True,catalogue_selected,0.889487863913387,101.79947512510566,103,52,0.73,0.0960110834519954,0.0107433048301359,5113610.229302399,623699.1177316516,0.1219685,0.0209423078475412,0.0013242698075119,
bc,900101,177,0.1998762624555027,1180282.0,True,catalogue_selected,0.8277914758097743,26.19062132488805,2320,429,0.73,0.0700711596270911,0.0005262450929006,5829763.300569786,1435741.2330899488,0.2462778,0.0174991077679557,0.0015485565341583,
bc,900101,178,0.2175847886740101,19323715.0,True,catalogue_selected,0.8315175168936841,88.62281577882493,434,85,0.73,0.0389007150575163,0.0004794032255487,5490803.385103689,1003401.1699475456,0.1827421,0.0120950943224178,0.0010891617919283,
bc,900101,181,0.1589954844782781,10663762.0,True,catalogue_selected,0.8614336737652111,64.0156676510371,1183,659,0.73,0.0792715749408212,0.012887717182314,4270910.450849346,497271.7933151331,0.1164323,0.0173426078955771,0.001323662267592,
bc,900101,182,0.126740275930606,18096897.0,True,catalogue_selected,0.90140940835071,33.52245009411842,1369,828,0.73,0.0687608046078342,0.0128876574213185,1831111.174172772,220992.63819989483,0.1206877,0.0130649462381598,0.0010319454839541,
bc,900101,184,0.0402100938252107,734970.0,True,catalogue_selected,0.9762928560465024,136.12304068130743,354,269,0.73,0.0145237507372216,0.000493593246052,6349.735938655878,1105.5044215007674,0.1741024,0.002357924065671,3.175367603822446e-05,
bc,900101,185,0.1666505341389912,9140269.0,True,catalogue_selected,0.711918803009965,309.3830615536255,18,11,0.73,0.0946934887114615,0.0248452171587587,4367564.905962366,449126.6649696186,0.1028323,0.019941283153432,0.0020137960841665,
bc,900101,188,0.0846180805730275,240317.0,True,catalogue_selected,0.9468647102100044,57.7745167044806,122,31,0.73,0.0024437413179905,5.8931895019522765e-06,731901.4545380158,92754.77630178707,0.1267312,0.0011684002116441,9.830156667684907e-05,
